subject,block_type,bin5,n,response_rate,hit_rate,fa_rate,accuracy
3132025001,full_sentence,last5,49,0.46938775510204084,0.2692307692307692,0.6956521739130435,0.2857142857142857
3132025001,imagined_sentence,first5,50,0.54,0.5555555555555556,0.5217391304347826,0.52
3132025001,imagined_sentence,mid5,50,0.44,0.4827586206896552,0.38095238095238093,0.54
3132025001,imagined_sentence,last5,49,0.5306122448979592,0.5,0.5483870967741935,0.46938775510204084
3132026002,full_sentence,first5,50,0.36,0.4,0.3,0.52
3132026002,full_sentence,mid5,50,0.48,0.5,0.45454545454545453,0.52
3132026002,full_sentence,last5,49,0.5102040816326531,0.4117647058823529,0.5625,0.42857142857142855
3132026002,imagined_sentence,first5,50,0.36,0.30434782608695654,0.4074074074074074,0.46
3132026002,imagined_sentence,mid5,50,0.34,0.35714285714285715,0.3181818181818182,0.5
3132026002,imagined_sentence,last5,49,0.3469387755102041,0.3333333333333333,0.36,0.4897959183673469
3172026001,full_sentence,first5,50,0.34,0.36666666666666664,0.3,0.5
3172026001,full_sentence,mid5,50,0.3,0.18181818181818182,0.39285714285714285,0.42
3172026001,full_sentence,last5,49,0.46938775510204084,0.6086956521739131,0.34615384615384615,0.6326530612244898
3172026001,imagined_sentence,first5,50,0.34,0.4230769230769231,0.25,0.58
3172026001,imagined_sentence,mid5,50,0.3,0.3,0.3,0.46
3172026001,imagined_sentence,last5,49,0.4489795918367347,0.4444444444444444,0.45161290322580644,0.5102040816326531
3192026001,full_sentence,first5,50,0.6,0.5925925925925926,0.6086956521739131,0.5
3192026001,full_sentence,mid5,50,0.6,0.7142857142857143,0.45454545454545453,0.64
3192026001,full_sentence,last5,49,0.5510204081632653,0.5263157894736842,0.5666666666666667,0.46938775510204084
3192026001,imagined_sentence,first5,50,0.56,0.5,0.6153846153846154,0.44
3192026001,imagined_sentence,mid5,50,0.52,0.5416666666666666,0.5,0.52
3192026001,imagined_sentence,last5,49,0.3877551020408163,0.4230769230769231,0.34782608695652173,0.5306122448979592
3202026001,full_sentence,first5,50,0.44,0.4074074074074074,0.4782608695652174,0.46
3202026001,full_sentence,mid5,50,0.44,0.5454545454545454,0.35714285714285715,0.6
3202026001,full_sentence,last5,49,0.4897959183673469,0.56,0.4166666666666667,0.5714285714285714
3202026001,imagined_sentence,first5,50,0.52,0.5172413793103449,0.5238095238095238,0.5
3202026001,imagined_sentence,mid5,50,0.44,0.48,0.4,0.54
3202026001,imagined_sentence,last5,49,0.5306122448979592,0.5,0.5517241379310345,0.46938775510204084
3202026002,full_sentence,first5,50,0.46,0.5416666666666666,0.38461538461538464,0.58
3202026002,full_sentence,mid5,50,0.46,0.42857142857142855,0.5,0.46
3202026002,full_sentence,last5,49,0.46938775510204084,0.6363636363636364,0.3333333333333333,0.6530612244897959
3202026002,imagined_sentence,first5,50,0.48,0.4,0.56,0.42
3202026002,imagined_sentence,mid5,50,0.42,0.46153846153846156,0.375,0.54
3202026002,imagined_sentence,last5,49,0.40816326530612246,0.3333333333333333,0.48,0.42857142857142855
3292026001,full_sentence,first5,50,0.54,0.5185185185185185,0.5652173913043478,0.48
3292026001,full_sentence,mid5,50,0.58,0.45,0.6666666666666666,0.38
3292026001,full_sentence,last5,49,0.5714285714285714,0.5357142857142857,0.6190476190476191,0.46938775510204084
3292026001,imagined_sentence,first5,50,0.5,0.5555555555555556,0.43478260869565216,0.56
3292026001,imagined_sentence,mid5,50,0.38,0.3793103448275862,0.38095238095238093,0.48
