subject,block_type,beta_tsr,beta_truetarget,beta_tsr_x_truth,beta_pos,beta_pos_x_truth,intercept
3102025002,imagined_sentence,-0.538954100681855,0.34236146546220275,-0.135369975158258,-0.38201392760431396,-0.40066095213323216,-0.4789682156533682
3132025001,full_sentence,0.40539011183607265,-0.1905384586478366,-0.933133509435735,0.11174579292765596,0.09419511302880457,-0.02093623816771774
3132025001,imagined_sentence,0.08986108766267886,0.08774357762014819,-0.10746908238504485,-0.1730398741485873,0.10466968349165728,-0.03806803385580211
3132026002,full_sentence,0.33796191688184696,0.01129034772176093,-0.34233252685949883,-0.04974943293119291,-0.3310115763584572,-0.24361532921286735
3132026002,imagined_sentence,-0.08345787737477223,-0.15619584862957311,0.0841206901017978,0.043138779478838166,-0.5729438851184305,-0.5666889250607436
3172026001,full_sentence,0.13066560802490365,0.15164206852907408,0.1817365057318949,-0.08217084907803754,0.28776110216508094,-0.6213580665884266
3172026001,imagined_sentence,0.33516704465397823,0.205490989700571,-0.31861533395463204,-0.22423164346587582,-0.23535615316257769,-0.6948797203422674
3192026001,full_sentence,-0.05299259799335135,0.30167680540173886,-0.04862693201438927,0.2942743047128823,-0.02317161091142939,0.1934262386410648
3192026001,imagined_sentence,-0.2481586689288002,-0.013886614659407787,0.14596424949009537,-0.07615177226601592,0.07868102434756973,-0.0347639265414025
3202026001,full_sentence,-0.07167538459173114,0.3646395143221246,0.2993351368149265,0.2213325129102495,-0.06216793790890088,-0.3533603546921834
3202026001,imagined_sentence,0.05764639074774652,0.03593998135329031,-0.1301607257170353,0.13516321066051004,-0.07645532474931538,-0.04301874032815137
3202026002,full_sentence,-0.20807517289430147,0.47990799963150427,0.31796476355134856,0.5494670511271429,-0.563331532299345,-0.3962429101628529
3202026002,imagined_sentence,-0.19291182703418114,-0.35746546898090453,0.13642712546043353,0.16488703314318526,0.3490866245293959,-0.11014025399341283
3292026001,full_sentence,0.13506720408403858,-0.4188281547529658,-0.17522224857688595,-0.12291763641733035,-0.07592664116571494,0.4796592780315036
3292026001,imagined_sentence,0.07732993474759554,0.2660624646040478,-0.2776414719303228,0.2827050463436589,0.11454417746338855,-0.23426876156410856
4032026001,full_sentence,-0.41808966224792227,-0.152714131682897,0.47926897080182645,-0.15220684825180697,0.052517158654142984,-0.08308828663606678
4032026001,imagined_sentence,0.03588196693887754,-0.03587180256923407,-0.2969587935513503,-0.11538106939282076,-0.02696780514144235,-0.46395891468646555
4042026001,full_sentence,-0.07152630176778395,0.3407764249789231,-0.5609210341464717,-0.07555205169106989,-0.18837410738753,-0.21190428969310224
4042026001,imagined_sentence,-0.4839996460685294,-0.23381286825393915,0.44627106959026663,-0.1270521733392565,0.3006165184222465,-0.02854390216819599
4042026002,full_sentence,0.22121188247501697,0.4263059855174284,0.0521875096502113,-0.20662206722573032,0.44282765668653157,-0.38805463018316594
4042026002,imagined_sentence,0.08933391401933446,0.13659535225896843,-0.2814665577633332,-0.27642802714101183,0.13421212342385094,-0.19558030638249016
4042026003,full_sentence,0.04470039053736176,-0.24336792100055124,-0.1675864905183748,0.02821812772683506,0.11821685253644404,0.3379850213158792
4042026003,imagined_sentence,-0.2872232103206758,-0.5173375213103705,0.09220141071666786,-0.13702892375458445,0.12392691407124172,0.38346277249181276
4062026001,full_sentence,-0.11668574641759898,-0.08472438013143287,0.43479544504441975,-0.07256582719449155,0.1132864149704103,-0.14079401623844992
4062026001,imagined_sentence,0.20350419095037073,0.459689511698464,0.846150425409181,-0.04090001679420829,0.020102367029868888,-0.07087866269373652
4142026001,full_sentence,-0.00390286703257514,0.15075093145706767,-0.2868244498709977,-0.3002290124578099,-0.023152084643352236,-0.5496003184564975
4142026001,imagined_sentence,-0.14393636876804322,0.1728548195242978,-0.17132168305619166,0.19425012099578257,-0.33859450895621157,-0.9011445573452319
4142026002,full_sentence,0.2158545506483731,0.2285961397368305,-0.4763178049094713,-0.32014080392118505,0.22366697480151368,-0.08356529738337533
4142026002,imagined_sentence,0.37106949807014644,0.4393409139282478,-0.4061994215049731,-0.03753183290520281,-0.13898893296937131,-0.39150748554095344
4182026001,full_sentence,-0.5114214939192896,0.1660434668292614,0.7179783945974991,-0.3839693592337752,-0.3747073591535185,-0.5394899320243738
4182026001,imagined_sentence,0.5600676945575325,-0.4854664985131303,-0.7149054599771524,0.60301206856707,-0.43014423209413905,0.2869516306397737
4182026002,full_sentence,0.1612741296237154,0.1740659520826595,-0.08341900964846413,-0.40755361234186566,0.45320205252229584,-0.32203379161410806
4182026002,imagined_sentence,0.11414347515105601,-0.3247727588151191,-0.3516800678339381,0.008066212572513437,0.40684022301983375,0.2230730672894249
4192026001,full_sentence,0.2584269046716574,0.5574394810714826,-0.39915537997233463,-0.12720850835597874,-0.36993409539431577,-0.04341475649271276
4192026001,imagined_sentence,-0.07539918976636277,0.11034378558739734,0.30235074681841523,0.5070617846173652,-0.7647522358681237,0.3659030799075871
4192026002,full_sentence,-0.055030707795273616,-0.20869111958487396,0.18979460193911937,0.17822586060333634,-0.28859007934150976,0.3468363864781922
4192026002,imagined_sentence,0.12801076279596335,0.4200022181332394,-0.4544210470340752,0.22453198419433243,-0.24484856704422833,0.14392300399117078
