block_type,subject,k,cluster,hit_rate,fa_rate,accuracy,response_rate
imagined_sentence,2242025001,3,0,0.6,0.5733333333333334,0.5133333333333333,0.5888
imagined_sentence,2262025001,3,2,0.48,0.4666666666666667,0.5,0.4781333333333333
imagined_sentence,3032025001,3,2,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
imagined_sentence,3032025002,3,0,0.3333333333333333,0.17333333333333334,0.5733333333333334,0.25666666666666665
imagined_sentence,3062025001,3,1,0.5466666666666666,0.52,0.5066666666666667,0.5370666666666667
imagined_sentence,3062025002,3,0,0.3333333333333333,0.36,0.48,0.3501333333333333
imagined_sentence,3102025001,3,1,0.3466666666666667,0.38666666666666666,0.48,0.3711111111111111
imagined_sentence,3102025002,3,2,0.49333333333333335,0.37333333333333335,0.56,0.4377777777777777
imagined_sentence,3132025001,3,0,0.5066666666666667,0.49333333333333335,0.5066666666666667,0.5034666666666666
imagined_sentence,3132026002,3,1,0.3333333333333333,0.36,0.48,0.3506666666666667
imagined_sentence,3172026001,3,0,0.37333333333333335,0.3466666666666667,0.5133333333333333,0.36293333333333333
imagined_sentence,3192026001,3,0,0.48,0.49333333333333335,0.49333333333333335,0.4904
imagined_sentence,3202026001,3,2,0.49333333333333335,0.49333333333333335,0.5,0.49600000000000005
imagined_sentence,3202026002,3,0,0.4,0.4666666666666667,0.46,0.43679999999999997
imagined_sentence,3292026001,3,2,0.49333333333333335,0.4533333333333333,0.52,0.4776
imagined_sentence,4032026001,3,2,0.37333333333333335,0.38666666666666666,0.49333333333333335,0.38266666666666665
imagined_sentence,4042026001,3,1,0.4266666666666667,0.5066666666666667,0.46,0.46959999999999996
imagined_sentence,4042026002,3,1,0.48,0.4533333333333333,0.5133333333333333,0.46853333333333336
imagined_sentence,4042026003,3,0,0.4533333333333333,0.6,0.42,0.5290666666666667
imagined_sentence,4062026001,3,2,0.5333333333333333,0.48,0.52,0.5095999999999999
imagined_sentence,4142026001,3,2,0.3333333333333333,0.29333333333333333,0.52,0.316
imagined_sentence,4142026002,3,2,0.5066666666666667,0.4,0.5533333333333333,0.4573333333333333
imagined_sentence,4182026001,3,1,0.44,0.5733333333333334,0.4266666666666667,0.51
imagined_sentence,4182026002,3,1,0.4666666666666667,0.56,0.4533333333333333,0.5178666666666667
imagined_sentence,4192026001,3,0,0.6266666666666667,0.5866666666666667,0.5133333333333333,0.6090666666666666
imagined_sentence,4192026002,3,2,0.64,0.5333333333333333,0.5466666666666666,0.5896
imagined_sentence,2242025001,4,1,0.6,0.5733333333333334,0.5133333333333333,0.5888
imagined_sentence,2262025001,4,2,0.48,0.4666666666666667,0.5,0.4781333333333333
imagined_sentence,3032025001,4,2,0.5333333333333333,0.5866666666666667,0.4666666666666667,0.5634666666666667
imagined_sentence,3032025002,4,1,0.3333333333333333,0.17333333333333334,0.5733333333333334,0.25666666666666665
imagined_sentence,3062025001,4,3,0.5466666666666666,0.52,0.5066666666666667,0.5370666666666667
imagined_sentence,3062025002,4,1,0.3333333333333333,0.36,0.48,0.3501333333333333
imagined_sentence,3102025001,4,3,0.3466666666666667,0.38666666666666666,0.48,0.3711111111111111
