block_type,subject,intercept,w_pearson_raw,w_lagged_xcorr_max,w_envelope_corr,w_log_spectrum_corr,w_mfcc_cosine,cluster_k2,cluster_k3,cluster_k4
imagined_sentence,2262025001,-0.09543107982046742,-0.005532896540123231,0.04360301018628617,-0.1824138842022801,0.3241319002990121,0.01734611755182098,0,1,0
imagined_sentence,3032025001,0.27057935094093305,-0.1043211708411478,-0.20471385253364094,0.1607104512581929,0.346158899967675,0.17577297278945134,0,1,1
imagined_sentence,3032025002,-1.1019100185245645,0.2629609738032288,-0.07967743741731693,-0.1845088295087898,-0.003077600873341452,-0.0966059786377139,1,2,0
imagined_sentence,3062025001,0.14869329109571472,-0.011163458491453284,0.0032456571643798776,0.08009696357165921,0.004781642976245956,0.11723787360989381,0,1,1
imagined_sentence,3062025002,-0.6619140488458853,0.07850379949018342,0.28484339999881675,0.035571871580084194,-0.2392584128579763,0.3770359074724744,1,0,3
imagined_sentence,3102025001,-0.540885282989811,0.025784278191597197,0.03463972139598332,0.151133002817544,0.011672086132436466,0.0985728733161668,0,1,1
imagined_sentence,3102025002,-0.26452816306696414,0.3551189170420557,0.13415336187587448,-0.02507607431932271,0.028459733056024707,-0.1339265509151063,1,2,0
imagined_sentence,3132025001,0.015501680979260576,0.2085072556359902,-0.04696391567707687,0.2116619825010153,0.17683099099151203,-0.22554712345844619,0,2,2
imagined_sentence,3132026002,-0.6299498222829014,0.016347759621692673,-0.01546863314470195,-0.1079662440362315,0.0885743498986572,0.13183713075046585,0,1,0
imagined_sentence,3172026001,-0.5902330754652078,0.2592820745509643,-0.28053427671173964,0.1368229629457876,0.04294083961345729,-0.08117578574598554,0,2,2
imagined_sentence,3192026001,-0.04094108058530507,-0.0811666115127147,0.18420305781327123,-0.03718306682870727,0.008999166046635622,0.04946753530987032,1,0,3
imagined_sentence,3202026001,-0.013790013226709098,-0.02399798180628609,-0.1935205104445528,0.216405486459168,0.29532490710830805,0.19311195483722707,0,1,1
imagined_sentence,3202026002,-0.26506378361444166,-0.15918710829307167,0.22392904951178857,0.06448952872854188,0.10788828952759158,-0.1517294899918288,1,2,2
imagined_sentence,3292026001,-0.09630721549081117,0.11393763777622805,-0.04058215715204286,0.20826078080979424,-0.13368318548865268,0.2328299906773824,0,1,1
imagined_sentence,4032026001,-0.4933786839346391,-0.0914872615895874,0.161730419756972,-0.3070661961272025,0.009954478708373382,0.03684797503799633,1,0,0
imagined_sentence,4042026001,-0.12476111942830613,-0.16648536470775233,-0.16157315334198086,-0.34092620987868183,0.14288672680210787,0.09840883105073638,0,1,0
imagined_sentence,4042026002,-0.12503308592962792,0.09185765406336945,0.16980517894777877,-0.3115412804894296,0.06637097063386509,-0.14612854397883654,1,0,0
imagined_sentence,4042026003,0.12358178552049245,-0.07742543142399555,0.21224639092561315,0.03325116248103364,-0.17530184553663508,-0.06888352536787093,1,0,3
imagined_sentence,4062026001,0.04173575790588996,0.08110046660354042,-0.18667501700071196,-0.1337222499666565,0.184115003155044,-0.009687095386207895,0,1,0
imagined_sentence,4142026001,-0.7927975705397516,-0.20798554753945062,-0.2752879378735805,0.0820432969445887,0.02760567672088141,0.10483740411685272,0,1,1
