subject,block_type,stimulus_number,true_label,subject_response,site,called_target,true_target,trial_index,pearson_raw_contrast,lagged_xcorr_max_contrast,envelope_corr_contrast,log_spectrum_corr_contrast,mfcc_cosine_contrast,trial_index_z
2242025001,full_sentence,1512885,target,distractor,Oberlin,0,1,36,0.0036260271444916725,-0.00018486753106117249,0.017336249351501465,-0.000201299786567688,-0.01852285861968994,-0.8805123584521056
2242025001,full_sentence,656999,target,target,Oberlin,1,1,37,0.007908573374152184,0.001166708767414093,0.01577174663543701,0.005818352103233337,-0.006293098442256451,-0.8573409805981028
2242025001,full_sentence,2690790,target,target,Oberlin,1,1,38,0.007948501966893673,-0.00011976063251495361,0.001711130142211914,0.00457356870174408,-0.02414499595761299,-0.8341696027441
2242025001,full_sentence,393679,target,target,Oberlin,1,1,39,0.007029457949101925,0.0007567815482616425,0.009271562099456787,-0.0022651702165603638,0.005551259033381939,-0.8109982248900972
2242025001,full_sentence,254758,distractor,target,Oberlin,1,0,40,0.0004883959772996604,-0.00016208365559577942,-0.008474409580230713,0.0016277283430099487,-0.011460855603218079,-0.7878268470360945
2242025001,full_sentence,436049,target,target,Oberlin,1,1,41,0.004303345922380686,0.0009614042937755585,-0.0025754570960998535,0.0005073845386505127,0.028507258743047714,-0.7646554691820917
2242025001,full_sentence,1673472,distractor,target,Oberlin,1,0,42,0.005947698373347521,0.00010425224900245667,-0.014766097068786621,-0.00507749617099762,-0.042210981249809265,-0.7414840913280889
2242025001,full_sentence,578254,target,target,Oberlin,1,1,43,0.0044034915044903755,0.0017776042222976685,0.010587632656097412,-0.005523577332496643,-0.0555388368666172,-0.7183127134740861
2242025001,full_sentence,1782091,distractor,distractor,Oberlin,0,0,44,0.0011924803256988525,0.0008033663034439087,0.004515886306762695,-0.0008001625537872314,-0.039022013545036316,-0.6951413356200834
2242025001,full_sentence,320025,distractor,target,Oberlin,1,0,45,0.0016199036035686731,-0.0012446120381355286,-0.009668052196502686,0.000762939453125,-0.022423306480050087,-0.6719699577660806
2242025001,full_sentence,422402,target,target,Oberlin,1,1,46,0.007257532794028521,-0.0009643808007240295,-0.0003991127014160156,-0.0021399110555648804,0.030686769634485245,-0.6487985799120778
2242025001,full_sentence,996037,target,target,Oberlin,1,1,47,0.006935416720807552,0.000580228865146637,0.0009921789169311523,-0.0033452510833740234,0.004851293750107288,-0.625627202058075
2242025001,full_sentence,1285990,distractor,target,Oberlin,1,0,48,0.005065162666141987,-0.002170037478208542,0.01088404655456543,-0.00018981099128723145,0.0378870815038681,-0.6024558242040723
2242025001,full_sentence,2654756,target,distractor,Oberlin,0,1,49,-0.0005025675054639578,-0.0016266480088233948,-0.006612122058868408,-0.00258086621761322,-0.05627105012536049,-0.5792844463500695
2242025001,full_sentence,83820,distractor,distractor,Oberlin,0,0,50,-0.00021777278743684292,-0.0001800060272216797,0.006628811359405518,-0.00330507755279541,-0.018271122127771378,-0.5561130684960667
2242025001,full_sentence,1559140,distractor,target,Oberlin,1,0,51,0.002789590274915099,0.002213556319475174,0.003119170665740967,0.0008156746625900269,0.01133705023676157,-0.5329416906420639
2242025001,full_sentence,1324224,distractor,target,Oberlin,1,0,52,0.0020495420321822166,-0.0002553202211856842,0.0019356608390808105,-0.007390260696411133,0.02492446079850197,-0.5097703127880612
2242025001,full_sentence,2455086,target,target,Oberlin,1,1,53,0.005960583686828613,-0.00020179897546768188,0.006607115268707275,-0.00208204984664917,-0.034726645797491074,-0.48659893493405837
2242025001,full_sentence,63332,distractor,target,Oberlin,1,0,54,-0.0024580659810453653,-0.0008879117667675018,0.011081337928771973,0.0035161077976226807,0.059523534029722214,-0.46342755708005556
2242025001,full_sentence,351826,distractor,target,Oberlin,1,0,55,0.001045420067384839,-0.0011491775512695312,-0.004767656326293945,-0.002039313316345215,0.02763882279396057,-0.4402561792260528
2242025001,full_sentence,364046,distractor,target,Oberlin,1,0,56,-0.005250786431133747,0.0003084354102611542,0.006864190101623535,0.00018189847469329834,0.013710721395909786,-0.41708480137205
2242025001,full_sentence,2456914,distractor,distractor,Oberlin,0,0,57,0.0016064275987446308,0.0016375966370105743,-0.0008878111839294434,-0.0024284422397613525,-0.010547144338488579,-0.39391342351804726
2242025001,full_sentence,1845027,distractor,target,Oberlin,1,0,58,0.0072798896580934525,-0.00033759698271751404,-0.00102996826171875,-0.0009840577840805054,-0.05226331949234009,-0.37074204566404445
2242025001,full_sentence,390337,distractor,target,Oberlin,1,0,59,-0.0006656160112470388,-0.000825345516204834,-0.0010673999786376953,0.0031730085611343384,-0.02009306475520134,-0.3475706678100417
