site,subject,block_type,model,n_trials,cv_auc,cv_auc_std
Oberlin,3102025001,full_sentence,single_lagged_xcorr_max,149,0.6448849206349206,0.09086573097576245
Oberlin,3102025001,full_sentence,single_envelope_corr,149,0.6485079365079366,0.10039346126492417
Oberlin,3102025001,full_sentence,single_log_spectrum_corr,149,0.6115674603174603,0.10240822357350006
Oberlin,3102025001,full_sentence,single_mfcc_cosine,149,0.6403055555555556,0.09871907283496852
Oberlin,3102025001,full_sentence,all_metrics,149,0.578547619047619,0.12125796605199081
Oberlin,3102025001,imagined_sentence,true_label_baseline,149,0.4774587985114301,0.051438916449729685
Oberlin,3102025001,imagined_sentence,trial_order_only,149,0.6516746411483254,0.09130610864594496
Oberlin,3102025001,imagined_sentence,single_pearson_raw,149,0.6333864965443914,0.08135437491423865
Oberlin,3102025001,imagined_sentence,single_lagged_xcorr_max,149,0.6516214779372674,0.09466599099694736
Oberlin,3102025001,imagined_sentence,single_envelope_corr,149,0.65103668261563,0.10346637193336979
Oberlin,3102025001,imagined_sentence,single_log_spectrum_corr,149,0.6372674109516214,0.09914669479374608
Oberlin,3102025001,imagined_sentence,single_mfcc_cosine,149,0.6556087187666135,0.09281718109772948
Oberlin,3102025001,imagined_sentence,all_metrics,149,0.6162147793726741,0.08901185504728328
Oberlin,3102025002,full_sentence,true_label_baseline,149,0.5357142857142857,0.05955237409852758
Oberlin,3102025002,full_sentence,trial_order_only,149,0.4292976190476191,0.08216263430347502
Oberlin,3102025002,full_sentence,single_pearson_raw,149,0.3817460317460317,0.05949802616186502
Oberlin,3102025002,full_sentence,single_lagged_xcorr_max,149,0.5009603174603174,0.12079171201748024
Oberlin,3102025002,full_sentence,single_envelope_corr,149,0.4544960317460317,0.05779895009338146
Oberlin,3102025002,full_sentence,single_log_spectrum_corr,149,0.40210317460317463,0.0830318127888114
Oberlin,3102025002,full_sentence,single_mfcc_cosine,149,0.4912698412698413,0.13006051269102104
Oberlin,3102025002,full_sentence,all_metrics,149,0.49124999999999996,0.08917967777578871
Oberlin,3102025002,imagined_sentence,true_label_baseline,149,0.564027149321267,0.07179328743324517
Oberlin,3102025002,imagined_sentence,trial_order_only,149,0.64881221719457,0.12309444121069245
Oberlin,3102025002,imagined_sentence,single_pearson_raw,149,0.6513574660633484,0.14479001682850498
Oberlin,3102025002,imagined_sentence,single_lagged_xcorr_max,149,0.6130090497737557,0.1376564370089052
Oberlin,3102025002,imagined_sentence,single_envelope_corr,149,0.64881221719457,0.12259442829684301
Oberlin,3102025002,imagined_sentence,single_log_spectrum_corr,149,0.6479638009049774,0.1256387622718604
Oberlin,3102025002,imagined_sentence,single_mfcc_cosine,149,0.6351809954751131,0.12527993265554055
Oberlin,3102025002,imagined_sentence,all_metrics,149,0.6078619909502263,0.16251089645370306
Oberlin,3132025001,full_sentence,true_label_baseline,149,0.47041666666666665,0.09322530799030174
Oberlin,3132025001,full_sentence,trial_order_only,149,0.4282738095238095,0.09979961498887378
Oberlin,3132025001,full_sentence,single_pearson_raw,149,0.4339880952380952,0.08639310403056646
Oberlin,3132025001,full_sentence,single_lagged_xcorr_max,149,0.4414880952380953,0.07520418162735606
Oberlin,3132025001,full_sentence,single_envelope_corr,149,0.38642857142857145,0.09737203795500125
Oberlin,3132025001,full_sentence,single_log_spectrum_corr,149,0.40857142857142864,0.06547169898014668
Oberlin,3132025001,full_sentence,single_mfcc_cosine,149,0.4496428571428572,0.05547108090101123
Oberlin,3132025001,full_sentence,all_metrics,149,0.34297619047619043,0.10411777764299042
Oberlin,3132025001,imagined_sentence,true_label_baseline,149,0.4352380952380952,0.07441990322128113
Oberlin,3132025001,imagined_sentence,trial_order_only,149,0.5463492063492064,0.06547383353141213
Oberlin,3132025001,imagined_sentence,single_pearson_raw,149,0.5236190476190477,0.10160983876989989
Oberlin,3132025001,imagined_sentence,single_lagged_xcorr_max,149,0.5473015873015873,0.10224942948586031
Oberlin,3132025001,imagined_sentence,single_envelope_corr,149,0.561015873015873,0.09486368732868947
Oberlin,3132025001,imagined_sentence,single_log_spectrum_corr,149,0.5348571428571429,0.0497781017158232
Oberlin,3132025001,imagined_sentence,single_mfcc_cosine,149,0.5222222222222223,0.14398902564491792
Oberlin,3132025001,imagined_sentence,all_metrics,149,0.5250158730158729,0.09927089202036779
Oberlin,3132026002,full_sentence,true_label_baseline,149,0.42843406593406597,0.041292663025920204
Oberlin,3132026002,full_sentence,trial_order_only,149,0.5485213316095668,0.051576725865447856
Oberlin,3132026002,full_sentence,single_pearson_raw,149,0.5372777957336782,0.10268552675522924
Oberlin,3132026002,full_sentence,single_lagged_xcorr_max,149,0.4891887524240466,0.0537205567144082
Oberlin,3132026002,full_sentence,single_envelope_corr,149,0.5983637685843568,0.10157172315102397
Oberlin,3132026002,full_sentence,single_log_spectrum_corr,149,0.5368010665804783,0.04541640652536615
Oberlin,3132026002,full_sentence,single_mfcc_cosine,149,0.5435318358112475,0.05752631253980067
Oberlin,3132026002,full_sentence,all_metrics,149,0.5292057207498384,0.11671644561615867
Oberlin,3132026002,imagined_sentence,true_label_baseline,149,0.46550239234449753,0.0720267190947018
Oberlin,3132026002,imagined_sentence,trial_order_only,149,0.5717320574162679,0.1076113610727793
Oberlin,3132026002,imagined_sentence,single_pearson_raw,149,0.5556363636363637,0.09645980315255792
Oberlin,3132026002,imagined_sentence,single_lagged_xcorr_max,149,0.5228181818181818,0.07066395455654702
Oberlin,3132026002,imagined_sentence,single_envelope_corr,149,0.5339617224880382,0.10543756929675226
Oberlin,3132026002,imagined_sentence,single_log_spectrum_corr,149,0.5213157894736843,0.06546918818279385
Oberlin,3132026002,imagined_sentence,single_mfcc_cosine,149,0.5180526315789473,0.06867910583508174
Oberlin,3132026002,imagined_sentence,all_metrics,149,0.48856937799043065,0.0735796629836619
Oberlin,3172026001,full_sentence,true_label_baseline,149,0.4749601275917065,0.07140007273323226
Oberlin,3172026001,full_sentence,trial_order_only,149,0.44800637958532696,0.10735251829414523
Oberlin,3172026001,full_sentence,single_pearson_raw,149,0.4635832004253057,0.10002994045251737
Oberlin,3172026001,full_sentence,single_lagged_xcorr_max,149,0.4222222222222222,0.11419447835203615
Oberlin,3172026001,full_sentence,single_envelope_corr,149,0.48729399255715045,0.07719810821540118
Oberlin,3172026001,full_sentence,single_log_spectrum_corr,149,0.472461456671983,0.06359120107411237
Oberlin,3172026001,full_sentence,single_mfcc_cosine,149,0.5158958001063263,0.042936131181621005
Oberlin,3172026001,full_sentence,all_metrics,149,0.5098351940457204,0.08945521890829124
Oberlin,3172026001,imagined_sentence,true_label_baseline,149,0.47210526315789475,0.07636123798562457
Oberlin,3172026001,imagined_sentence,trial_order_only,149,0.5827751196172248,0.1011098866363429
Oberlin,3172026001,imagined_sentence,single_pearson_raw,149,0.6328229665071771,0.09032681822325395
