subset,quest,perf,n,rho,p
B_dprime_ge_0p10,BAIS_V,hit_rate,15,0.35,0.2009453508162933
B_dprime_ge_0p10,BAIS_V,fa_rate,15,0.2576032744446551,0.3539690893344382
B_dprime_ge_0p10,BAIS_V,criterion,15,-0.3214285714285714,0.24271904680166828
B_dprime_ge_0p10,BAIS_C,d_prime,15,0.31305953491537947,0.25589761513710113
B_dprime_ge_0p10,BAIS_C,cos_ci_true,15,0.1949913674615792,0.48617064239250796
B_dprime_ge_0p10,BAIS_C,cos_w_true,15,-0.43112770236917963,0.10861481886749359
B_dprime_ge_0p10,BAIS_C,beta_truetarget,15,0.31305953491537947,0.25589761513710113
B_dprime_ge_0p10,BAIS_C,accuracy,15,0.3620476192089483,0.1848116626852844
B_dprime_ge_0p10,BAIS_C,hit_rate,15,0.43291661399726755,0.10699411360408677
B_dprime_ge_0p10,BAIS_C,fa_rate,15,0.3288530465949821,0.23138595989645008
B_dprime_ge_0p10,BAIS_C,criterion,15,-0.38282708841080687,0.15901459966253959
B_dprime_ge_0p10,VHQ,d_prime,15,0.2986700533805985,0.27955640796024067
B_dprime_ge_0p10,VHQ,cos_ci_true,15,0.27875871648855866,0.31437063410017685
B_dprime_ge_0p10,VHQ,cos_w_true,15,0.009050607678199955,0.9744623681636824
B_dprime_ge_0p10,VHQ,beta_truetarget,15,0.22988543502627887,0.4098104448772946
B_dprime_ge_0p10,VHQ,accuracy,15,0.23867617227726398,0.3916241205154095
B_dprime_ge_0p10,VHQ,hit_rate,15,0.11946802135223941,0.6715066096828026
B_dprime_ge_0p10,VHQ,fa_rate,15,0.09610821671248547,0.7333117962248358
B_dprime_ge_0p10,VHQ,criterion,15,-0.15929069513631922,0.5706801254470335
B_dprime_ge_0p10,TAS,d_prime,15,0.4265260372259291,0.11286198253282731
B_dprime_ge_0p10,TAS,cos_ci_true,15,0.4587843089488985,0.08540883778954544
B_dprime_ge_0p10,TAS,cos_w_true,15,-0.13978584413286751,0.6192793544842078
B_dprime_ge_0p10,TAS,beta_truetarget,15,0.40502052274394945,0.13423565484754943
B_dprime_ge_0p10,TAS,accuracy,15,0.3920071448738239,0.14842278029199918
B_dprime_ge_0p10,TAS,hit_rate,15,0.046595281377622505,0.8690266287278582
B_dprime_ge_0p10,TAS,fa_rate,15,-0.046678710775455184,0.8687939877154952
B_dprime_ge_0p10,TAS,criterion,15,-0.014337009654653078,0.959555168365072
B_dprime_ge_0p10,LSHS,d_prime,15,0.43431652731422477,0.10573762285477832
B_dprime_ge_0p10,LSHS,cos_ci_true,15,0.39857031107437085,0.14114741002791487
B_dprime_ge_0p10,LSHS,cos_w_true,15,-0.08757822978764203,0.756287513975658
B_dprime_ge_0p10,LSHS,beta_truetarget,15,0.3717606488944804,0.1724358725426281
B_dprime_ge_0p10,LSHS,accuracy,15,0.37451184863727793,0.16903203863215205
B_dprime_ge_0p10,LSHS,hit_rate,15,0.08400360816365664,0.7659736448940244
B_dprime_ge_0p10,LSHS,fa_rate,15,0.004476277532413297,0.987368086255664
B_dprime_ge_0p10,LSHS,criterion,15,-0.042895459487824666,0.8793532695538793
B_dprime_ge_0p10,DES,d_prime,15,0.395349469807422,0.1446870153872749
B_dprime_ge_0p10,DES,cos_ci_true,15,0.35241559073331286,0.19764055588375692
B_dprime_ge_0p10,DES,cos_w_true,15,-0.08050102326395471,0.7754958926898937
B_dprime_ge_0p10,DES,beta_truetarget,15,0.36672688375801593,0.17877962584789547
B_dprime_ge_0p10,DES,accuracy,15,0.3199915826341715,0.24495141663624753
B_dprime_ge_0p10,DES,hit_rate,15,-0.3005371535187643,0.27641526950681383
B_dprime_ge_0p10,DES,fa_rate,15,-0.3342293906810036,0.22338915062105652
B_dprime_ge_0p10,DES,criterion,15,0.3291597395681704,0.23092504375699194
B_dprime_ge_0p10,FSS,d_prime,15,0.1926255823761221,0.4915793500915019
B_dprime_ge_0p10,FSS,cos_ci_true,15,-0.005400717262881928,0.9847596016636828
B_dprime_ge_0p10,FSS,cos_w_true,15,-0.250233233180196,0.3683849191312618
B_dprime_ge_0p10,FSS,beta_truetarget,15,0.11881577978340242,0.673208092598699
B_dprime_ge_0p10,FSS,accuracy,15,0.22909265066218482,0.4114719139412475
B_dprime_ge_0p10,FSS,hit_rate,15,0.4464592937315727,0.09526768205068695
B_dprime_ge_0p10,FSS,fa_rate,15,0.3760219180788666,0.16718271212911523
B_dprime_ge_0p10,FSS,criterion,15,-0.42305618559241776,0.11613956929009754
B_dprime_ge_0p10,SSS_mean,d_prime,15,-0.18315865491506889,0.5135030445773865
B_dprime_ge_0p10,SSS_mean,cos_ci_true,15,-0.31191374896427576,0.2577351676752196
B_dprime_ge_0p10,SSS_mean,cos_w_true,15,0.14507616230896545,0.6059413747488945
B_dprime_ge_0p10,SSS_mean,beta_truetarget,15,-0.19766627114596544,0.48008950828071034
B_dprime_ge_0p10,SSS_mean,accuracy,15,-0.17701948052242358,0.5279548035155395
B_dprime_ge_0p10,SSS_mean,hit_rate,15,0.09973986158741376,0.7235920757768397
B_dprime_ge_0p10,SSS_mean,fa_rate,15,0.12898563155529805,0.6468501348213888
B_dprime_ge_0p10,SSS_mean,criterion,15,-0.132381998106931,0.6381317735811015
C_dprime_top_tert,BAIS_V,d_prime,9,-0.33333333333333337,0.38071318167686347
C_dprime_top_tert,BAIS_V,cos_ci_true,9,-0.5,0.1704706607870538
C_dprime_top_tert,BAIS_V,cos_w_true,9,-0.5166666666666667,0.15439012098622507
C_dprime_top_tert,BAIS_V,beta_truetarget,9,-0.13333333333333333,0.7323675052362973
C_dprime_top_tert,BAIS_V,accuracy,9,-0.17487435419566724,0.6527031843903707
C_dprime_top_tert,BAIS_V,hit_rate,9,0.3666666666666667,0.3317398014330152
C_dprime_top_tert,BAIS_V,fa_rate,9,0.2677847708018314,0.4860296141888536
C_dprime_top_tert,BAIS_V,criterion,9,-0.39999999999999997,0.286105101908313
C_dprime_top_tert,BAIS_C,d_prime,9,-0.3109353485219266,0.4154071550897824
C_dprime_top_tert,BAIS_C,cos_ci_true,9,-0.6134670389756931,0.07891522643715876
C_dprime_top_tert,BAIS_C,cos_w_true,9,-0.6890999615891347,0.04004994955100435
C_dprime_top_tert,BAIS_C,beta_truetarget,9,-0.17647681943136376,0.6496847436328109
C_dprime_top_tert,BAIS_C,accuracy,9,-0.193985124636695,0.6170002087224609
C_dprime_top_tert,BAIS_C,hit_rate,9,0.34454998079456733,0.3638713652659553
C_dprime_top_tert,BAIS_C,fa_rate,9,0.2995807258635481,0.43352029233075084
C_dprime_top_tert,BAIS_C,criterion,9,-0.34454998079456733,0.3638713652659553
C_dprime_top_tert,VHQ,d_prime,9,-0.06780635036208103,0.8623941918367143
C_dprime_top_tert,VHQ,cos_ci_true,9,-0.10170952554312156,0.7945769661497372
C_dprime_top_tert,VHQ,cos_w_true,9,-0.03390317518104052,0.9309991405662561
C_dprime_top_tert,VHQ,beta_truetarget,9,0.0,1.0
C_dprime_top_tert,VHQ,accuracy,9,-0.2934753953158682,0.443401463058723
C_dprime_top_tert,VHQ,hit_rate,9,-0.01695158759052026,0.9654747777786836
C_dprime_top_tert,VHQ,fa_rate,9,0.03404532748240978,0.930710385202635
C_dprime_top_tert,VHQ,criterion,9,-0.11866111313364182,0.7610840665317586
C_dprime_top_tert,TAS,d_prime,9,0.11666666666666665,0.765007942926146
C_dprime_top_tert,TAS,cos_ci_true,9,0.0,1.0
C_dprime_top_tert,TAS,cos_w_true,9,-0.06666666666666667,0.8646897846262036
C_dprime_top_tert,TAS,beta_truetarget,9,0.35,0.35581957250178897
C_dprime_top_tert,TAS,accuracy,9,0.03497487083913345,0.9288223684223893
C_dprime_top_tert,TAS,hit_rate,9,-0.25,0.5164895523012261
C_dprime_top_tert,TAS,fa_rate,9,-0.4016771562027471,0.28389997633799563
C_dprime_top_tert,TAS,criterion,9,0.25,0.5164895523012261
C_dprime_top_tert,LSHS,d_prime,9,-0.108787563138244,0.7805538526280621
C_dprime_top_tert,LSHS,cos_ci_true,9,-0.4267819784654187,0.25195669028740064
C_dprime_top_tert,LSHS,cos_w_true,9,-0.5272012675161055,0.14469933213386174
C_dprime_top_tert,LSHS,beta_truetarget,9,-0.01673654817511446,0.9659125418111234
C_dprime_top_tert,LSHS,accuracy,9,-0.33365440810901087,0.38022607485581317
C_dprime_top_tert,LSHS,hit_rate,9,-0.16736548175114463,0.6669046355985242
C_dprime_top_tert,LSHS,fa_rate,9,-0.1008403361344538,0.7963026092656941
C_dprime_top_tert,LSHS,criterion,9,0.09205101496312953,0.8137943104130291
C_dprime_top_tert,DES,d_prime,9,-0.48333333333333334,0.18746985521554216
C_dprime_top_tert,DES,cos_ci_true,9,-0.39999999999999997,0.286105101908313
C_dprime_top_tert,DES,cos_w_true,9,-0.3666666666666667,0.3317398014330152
C_dprime_top_tert,DES,beta_truetarget,9,-0.3,0.43284532670948234
C_dprime_top_tert,DES,accuracy,9,-0.5595979334261352,0.11718229114244014
C_dprime_top_tert,DES,hit_rate,9,-0.7999999999999999,0.009627924725379839
C_dprime_top_tert,DES,fa_rate,9,-0.54393781569122,0.13005468899084704
C_dprime_top_tert,DES,criterion,9,0.6333333333333333,0.06708578689234572
C_dprime_top_tert,FSS,d_prime,9,-0.31634332522625586,0.406902939442837
C_dprime_top_tert,FSS,cos_ci_true,9,-0.26504440762199816,0.4906737417265654
C_dprime_top_tert,FSS,cos_w_true,9,-0.29924368602483664,0.43406321140887594
C_dprime_top_tert,FSS,beta_truetarget,9,-0.290693866424127,0.4479355921411298
C_dprime_top_tert,FSS,accuracy,9,-0.0807377857828318,0.8364131833183157
C_dprime_top_tert,FSS,hit_rate,9,0.6668859288553501,0.049764540874753106
C_dprime_top_tert,FSS,fa_rate,9,0.8070527974659932,0.00855389819531484
C_dprime_top_tert,FSS,criterion,9,-0.7352844856610271,0.02398124618219565
C_dprime_top_tert,SSS_mean,d_prime,9,-0.2773207162492859,0.4700126440526218
C_dprime_top_tert,SSS_mean,cos_ci_true,9,-0.22689876784032487,0.5571400528860272
C_dprime_top_tert,SSS_mean,cos_w_true,9,0.033614632272640714,0.9315852819957169
C_dprime_top_tert,SSS_mean,beta_truetarget,9,-0.5462377744304117,0.12811401669706698
C_dprime_top_tert,SSS_mean,accuracy,9,-0.20280263030199933,0.6007532923897033
C_dprime_top_tert,SSS_mean,hit_rate,9,0.3949719292035284,0.29276882367275403
C_dprime_top_tert,SSS_mean,fa_rate,9,0.42616413115800506,0.252718689887197
C_dprime_top_tert,SSS_mean,criterion,9,-0.4117792453398488,0.27080524598002215
D_stably_aligned,BAIS_V,d_prime,15,0.08042898653967125,0.7756920508475325
D_stably_aligned,BAIS_V,cos_ci_true,15,0.0035746216239853886,0.9899123964892551
D_stably_aligned,BAIS_V,cos_w_true,15,-0.39499568945038543,0.14507941498945764
D_stably_aligned,BAIS_V,beta_truetarget,15,0.048257391923802746,0.8643937728170601
D_stably_aligned,BAIS_V,accuracy,15,0.04178518110328957,0.8824557840181808
D_stably_aligned,BAIS_V,hit_rate,15,0.4735901629293269,0.07455042727740249
D_stably_aligned,BAIS_V,fa_rate,15,0.37690256822919965,0.16611040195404272
D_stably_aligned,BAIS_V,criterion,15,-0.49687240573396907,0.05953363834050534
D_stably_aligned,BAIS_C,d_prime,15,0.28264803723788545,0.3073818395082999
D_stably_aligned,BAIS_C,cos_ci_true,15,0.27549239072553394,0.3203102394325529
D_stably_aligned,BAIS_C,cos_w_true,15,-0.4490168186500585,0.09315913589017988
D_stably_aligned,BAIS_C,beta_truetarget,15,0.3094817116592037,0.26166212054853993
D_stably_aligned,BAIS_C,accuracy,15,0.29548580511056033,0.2849624274527656
