stimulus_number,r_score,mean_r_to_others
2260363,0.070967212319374,0.00440101926101359
1480814,0.070951409637928,0.006024492896155745
1929764,0.0709372758865356,0.0060280798377779395
2669502,0.0709343552589416,0.007132694994106934
1793105,0.0709325224161148,0.006740753908592877
2265258,0.070921741425991,0.005435373638741228
2205405,0.0709176436066627,0.00603070402719482
1558811,0.0708924755454063,0.0076597223950187945
710781,0.0708626359701156,0.006523586565665216
1784932,0.0708374828100204,0.005727939057446828
1050074,0.0707895904779434,0.003258296552040875
1905895,0.0706826895475387,0.006638896296477378
1989589,0.0705960169434547,0.005669925999877068
1950306,0.0705738216638565,0.0074906448919694465
2212503,0.070531390607357,0.005023903026321038
724605,0.0705155283212661,0.00588128848249809
780158,0.070480965077877,0.004377880566270156
1604178,0.0703924894332885,0.00647987380101772
685150,0.0703596994280815,0.005476055301222063
2490211,0.0703465640544891,0.006679960554719795
32605,0.0703125894069671,0.004347676442345791
2455086,0.0702902972698211,0.005777543824558536
681938,0.0702606067061424,0.003336067078120282
594320,0.0702521577477455,0.006131056118098117
237223,0.0702433884143829,0.006248948986677463
2209737,0.0702066421508789,0.005087629520476174
393679,0.0701612010598182,0.007199684664157909
2107267,0.070152923464775,0.002665865423120572
