subject,block_type,metric,k,neighbour_consistency,null_mean,null_std,p_perm,label_neighbour_consistency,accuracy
4042026001,full_sentence,log_spectrum_corr,10,0.5043889264010804,0.4980270087778528,0.016379158123184984,0.35528942115768464,0.4888588791357191,0.5333333333333333
4042026002,full_sentence,log_spectrum_corr,10,0.5098171970209885,0.5011983750846309,0.01669097347161291,0.29740518962075846,0.4841750841750842,0.5466666666666666
4042026003,full_sentence,log_spectrum_corr,10,0.5354490209318028,0.501808237677245,0.016100243692197057,0.01996007984031936,0.5081190798376184,0.46
4062026001,full_sentence,log_spectrum_corr,10,0.49594594594594593,0.4997810810810811,0.015561956806095107,0.5948103792415169,0.4874915483434753,0.4866666666666667
4142026001,full_sentence,log_spectrum_corr,10,0.5047425474254743,0.5221246612466125,0.015595753656451473,0.8622754491017964,0.5233265720081136,0.52
4142026002,full_sentence,log_spectrum_corr,10,0.49019607843137253,0.4961987829614604,0.01719434537063526,0.6626746506986028,0.5074224021592443,0.5333333333333333
4182026001,full_sentence,log_spectrum_corr,10,0.5415821501014199,0.5151575388776201,0.01607443430130286,0.05389221556886228,0.5010128291694801,0.52
4182026002,full_sentence,log_spectrum_corr,10,0.5141700404858299,0.5013387314439947,0.016099980203499193,0.2155688622754491,0.5047425474254743,0.5133333333333333
4192026001,full_sentence,log_spectrum_corr,10,0.5142276422764228,0.5031747967479674,0.01623399265988729,0.2634730538922156,0.5336048879837068,0.5733333333333334
4192026002,full_sentence,log_spectrum_corr,10,0.49865229110512127,0.5049070080862533,0.017117686676163136,0.6726546906187625,0.5118004045853001,0.4666666666666667
2242025001,full_sentence,mfcc_cosine,10,0.48213081591368845,0.4985300067430883,0.0171907442844969,0.8303393213572854,0.5216508795669824,0.47333333333333333
2262025001,full_sentence,mfcc_cosine,10,0.460446247464503,0.49884110885733607,0.017065137540494487,0.9860279441117764,0.5026954177897575,0.5266666666666666
3032025001,full_sentence,mfcc_cosine,10,0.5210312075983717,0.5100773405698779,0.01657350111115859,0.2375249500998004,0.5074324324324324,0.52
3032025002,full_sentence,mfcc_cosine,10,0.4800810263335584,0.4980162052667117,0.01624996867379259,0.872255489021956,0.46008119079837617,0.5066666666666667
3062025001,full_sentence,mfcc_cosine,10,0.49324324324324326,0.4986608108108109,0.016761791909155884,0.6127744510978044,0.46991210277214335,0.5466666666666666
3062025002,full_sentence,mfcc_cosine,10,0.654054054054054,0.6524148648648649,0.012220141903919762,0.44510978043912175,0.6619337390128465,0.5466666666666666
3102025001,full_sentence,mfcc_cosine,10,0.5141891891891892,0.49680135135135134,0.017245107657826376,0.18163672654690619,0.5016903313049358,0.5466666666666666
3102025002,full_sentence,mfcc_cosine,10,0.47808496291301417,0.49617666891436274,0.016929706049470628,0.8602794411177644,0.48073022312373226,0.5333333333333333
3132025001,full_sentence,mfcc_cosine,10,0.48070412999322953,0.49792958700067697,0.0163282131653367,0.8562874251497006,0.4942372881355932,0.47333333333333333
3132026002,full_sentence,mfcc_cosine,10,0.516260162601626,0.5006788617886179,0.01638751499656294,0.16766467065868262,0.4838274932614555,0.4866666666666667
3172026001,full_sentence,mfcc_cosine,10,0.5335138794854435,0.5313364928909953,0.016655401027121194,0.46107784431137727,0.5280216070222823,0.5133333333333333
3192026001,full_sentence,mfcc_cosine,10,0.5074324324324324,0.5102810810810811,0.016468717495702282,0.564870259481038,0.5054054054054054,0.5333333333333333
3202026001,full_sentence,mfcc_cosine,10,0.4885135135135135,0.5004432432432433,0.016589202398874556,0.7744510978043913,0.5040431266846361,0.54
3202026002,full_sentence,mfcc_cosine,10,0.4945872801082544,0.49910419485791613,0.016126349155270097,0.6287425149700598,0.5043889264010804,0.56
3292026001,full_sentence,mfcc_cosine,10,0.519217801753203,0.5048900876601483,0.015937820942236898,0.18163672654690619,0.5185936443542934,0.44
4032026001,full_sentence,mfcc_cosine,10,0.4861766689143628,0.4976291301416048,0.016946063114779104,0.7624750499001997,0.4945872801082544,0.4666666666666667
4042026001,full_sentence,mfcc_cosine,10,0.5084175084175084,0.4969225589225589,0.016968642744229757,0.24151696606786427,0.49966193373901285,0.5333333333333333
4042026002,full_sentence,mfcc_cosine,10,0.4942683749157114,0.5009507754551584,0.016994748548127905,0.6586826347305389,0.5040595399188093,0.5466666666666666
4042026003,full_sentence,mfcc_cosine,10,0.4976335361730899,0.5015483434753212,0.01742489272258902,0.5828343313373253,0.49763991908294,0.46
4062026001,full_sentence,mfcc_cosine,10,0.4915711395819285,0.5004517869184086,0.017629547504532474,0.7005988023952096,0.50708024275118,0.4866666666666667
4142026001,full_sentence,mfcc_cosine,10,0.5213559322033898,0.5224433898305085,0.016230785775635467,0.5189620758483033,0.5320296695886716,0.52
4142026002,full_sentence,mfcc_cosine,10,0.4745762711864407,0.4961505084745763,0.015803363886868014,0.908183632734531,0.516914749661705,0.5333333333333333
4182026001,full_sentence,mfcc_cosine,10,0.5407956844234659,0.5150829399865138,0.017122115120157266,0.0718562874251497,0.521974306964165,0.52
4182026002,full_sentence,mfcc_cosine,10,0.5145762711864407,0.5016352542372882,0.016753916302232844,0.2215568862275449,0.49629130141604855,0.5133333333333333
4192026001,full_sentence,mfcc_cosine,10,0.5071090047393365,0.504396750169262,0.017002697340852697,0.4351297405189621,0.4922349763673194,0.5733333333333334
4192026002,full_sentence,mfcc_cosine,10,0.4915711395819285,0.5041766689143627,0.017049007294613953,0.7524950099800399,0.5040650406504065,0.4666666666666667
