subject,site,block_type,d_prime,hit_rate,fa_rate,accuracy,criterion,cos_ci_true,cos_w_true,beta_truetarget,BAIS_V,BAIS_C,VHQ,TAS,LSHS,DES,FSS,SSS_mean
3172026001,Oberlin,full_sentence,0.0922131751995444,0.3866666666666666,0.3513513513513513,0.5167785234899329,0.3302300209089034,0.0285642457330118,-0.2077814998110358,0.151642068529074,79.0,87.0,6.0,73.0,38.0,450.0,28.0,5.25
3172026001,Oberlin,imagined_sentence,0.0833944761835707,0.3783783783783784,0.3466666666666667,0.5167785234899329,0.3471780261911827,0.0721254329572711,0.0670128484416032,0.205490989700571,79.0,87.0,6.0,73.0,38.0,450.0,28.0,5.25
3192026001,Oberlin,full_sentence,0.1897863783091102,0.6216216216216216,0.5466666666666666,0.5369127516778524,-0.2105875989448422,0.0403753137460809,0.1063676662417814,0.3016768054017388,90.0,89.0,8.0,51.0,45.0,650.0,30.0,4.75
3192026001,Oberlin,imagined_sentence,-0.0169362118083972,0.4864864864864865,0.4933333333333333,0.4966442953020134,0.0249598289260566,-0.0222077159529397,0.1457626556395133,-0.0138866146594077,90.0,89.0,8.0,51.0,45.0,650.0,30.0,4.75
3202026001,Oberlin,full_sentence,0.2160518024972585,0.5,0.4133333333333333,0.5436241610738255,0.1080259012486292,0.0974657871796313,0.1526143425391672,0.3646395143221246,53.0,56.0,5.0,40.0,29.0,1480.0,29.0,3.25
3202026001,Oberlin,imagined_sentence,0.0164917230218579,0.5,0.4933333333333333,0.5033557046979866,0.0082458615109289,0.0208562379141752,0.2503242893318438,0.0359399813532903,53.0,56.0,5.0,40.0,29.0,1480.0,29.0,3.25
3202026002,Oberlin,full_sentence,0.3168360814465311,0.527027027027027,0.4,0.5637583892617449,0.0915247655295562,0.1614199700578269,0.4229120447996023,0.4799079996315042,70.0,74.0,5.0,54.0,36.0,780.0,27.0,3.75
3202026002,Oberlin,imagined_sentence,-0.1830495310591123,0.4,0.4729729729729729,0.4630872483221476,0.1584180407232656,-0.0981427186634525,-0.1464768001745102,-0.3574654689809045,70.0,74.0,5.0,54.0,36.0,780.0,27.0,3.75
4142026001,Oberlin,full_sentence,0.124643024590537,0.4133333333333333,0.3648648648648648,0.5234899328859061,0.278373314792527,0.0265160246148754,0.2033629441468661,0.1507509314570676,72.0,54.0,4.0,46.0,16.0,780.0,33.0,3.0
4142026001,Oberlin,imagined_sentence,0.1233246006142368,0.3378378378378378,0.2933333333333333,0.5234899328859061,0.4741254297485232,0.025919809849789,0.2681929027977899,0.1728548195242978,72.0,54.0,4.0,46.0,16.0,780.0,33.0,3.0
4142026002,Oberlin,full_sentence,0.1829822534155826,0.5333333333333333,0.4594594594594595,0.5369127516778524,0.0089425938036784,0.109405835844201,0.2420730751058926,0.2285961397368305,75.0,81.0,7.0,71.0,51.0,1060.0,28.0,2.25
