stimulus_number,label,projection_coeff
1702273,target,0.07859744751186154
1736013,target,0.07369662336112305
173924,target,0.08521640151883147
1746525,target,0.07579857672914672
1760150,target,0.0758429163888263
1793105,target,0.07087921479751871
1806338,target,0.07464089608902581
1848811,target,0.07247649630455254
1882578,target,0.07124298746022013
1883593,target,0.07350862309384243
1905895,target,0.07069179595129187
1916328,target,0.0767861968272096
1929764,target,0.07091588761814609
1946948,target,0.07316545163094655
2025857,target,0.0716210239276062
2029437,target,0.0813260219653218
2030905,target,0.09274886888656539
2035948,target,0.08041895617820707
2066255,target,0.07176907132586911
2107267,target,0.07014927803709807
214879,target,0.071370680831151
2204421,target,0.08916433729282022
2205405,target,0.07090350963643542
2212503,target,0.07051122568082112
2241357,target,0.07157773767175049
2260363,target,0.07096456045631909
2274164,target,0.07130677037381784
2357409,target,0.07325165073608812
2365445,target,0.07645886174481252
237223,target,0.07024356277387547
2375287,target,0.07125140937685139
2417183,target,0.08302127609989417
2522869,target,0.07340784215835425
279298,target,0.07179387003704252
307913,target,0.07564089832838063
32605,target,0.070318303256286
338947,target,0.07906823073583258
424719,target,0.07247343053281932
435296,target,0.07334686888525263
592916,target,0.0736272693332368
594320,target,0.0702588216451637
603509,target,0.07110271815978596
616206,target,0.07317050764077267
6207,target,0.07264593507617641
685150,target,0.07035550002846636
696985,target,0.08152995757310469
732981,target,0.08020810774185332
744480,target,0.07414941433155697
754888,target,0.07143271931200985
765496,target,0.0727934130056859
776327,target,0.0718348403764132
780158,target,0.07047572306010022
785460,target,0.08061854078541635
894078,target,0.07657566138136919
955718,target,0.08295059160891459
988974,target,0.07118568591668367
1067883,distractor,1.9559524617973263e-06
1154680,distractor,5.11209799633604e-07
1248677,distractor,8.581898461546527e-07
1285990,distractor,1.5399408863094456e-06
1286055,distractor,3.0083465622379584e-06
1324224,distractor,-5.5718151877634264e-06
1372543,distractor,3.155242817889775e-06
144254,distractor,6.224009678668051e-06
1455560,distractor,-7.194414786576544e-06
1531735,distractor,-1.2253395454308055e-06
1559140,distractor,3.97602729398132e-06
1560586,distractor,3.040071031566098e-06
1617401,distractor,-4.107149338308921e-06
1633194,distractor,-5.323830141929039e-06
1667784,distractor,2.102533848267254e-06
1673452,distractor,-4.6202485647612054e-06
1673472,distractor,5.616046610665798e-07
1708892,distractor,9.625211838370549e-07
1717516,distractor,-1.5745008745804881e-06
1755600,distractor,-3.3909474375203714e-07
1782091,distractor,-1.3360068685696285e-06
1789042,distractor,-4.2078827474449025e-06
1797030,distractor,2.187769842488393e-06
1832684,distractor,1.8151164557859679e-06
1845027,distractor,1.1904209945004019e-06
185130,distractor,-2.1078620192590715e-06
1879648,distractor,5.495574333126869e-06
1893147,distractor,-4.071697344583306e-06
1921945,distractor,2.0749185854631063e-07
1974580,distractor,-2.7586639381214465e-07
1995467,distractor,-1.3669006306452385e-06
2034167,distractor,1.5588409876105648e-06
2097875,distractor,-8.597864627596774e-07
2098961,distractor,-5.167988697397268e-06
2118128,distractor,-4.129827126714538e-06
2152103,distractor,2.677283685471846e-07
2184351,distractor,-5.14528736538148e-06
2204030,distractor,3.37288451282763e-06
2262329,distractor,1.9028353452153073e-06
2380621,distractor,-2.5035489996383437e-06
2416540,distractor,-4.5672068513537816e-06
2456914,distractor,1.8540276615712838e-07
2457843,distractor,-1.593766644007612e-06
2514716,distractor,3.5302261724512616e-06
254758,distractor,1.1430102312411963e-06
2557564,distractor,-1.2508162647437054e-06
2578028,distractor,-3.0787284544486936e-06
2594432,distractor,-2.0104997989612833e-06
2634690,distractor,-1.6354291633924901e-06
2645024,distractor,1.6607420319824387e-06
320025,distractor,3.366067474353164e-06
323739,distractor,-1.6905733626261548e-06
33624,distractor,5.540000786163835e-06
351794,distractor,-2.80333208412873e-07
351826,distractor,5.136867665379407e-06
364046,distractor,-1.8181321574973232e-06
390337,distractor,-2.449130091714929e-06
417922,distractor,-2.206742907728318e-06
490292,distractor,5.515843144689014e-06
499550,distractor,2.137326090955895e-06
503104,distractor,-5.255745871659053e-06
552066,distractor,-3.951634004371993e-07
588063,distractor,5.342097429492899e-06
633301,distractor,-1.8046807025110005e-06
63332,distractor,-9.707159470528835e-07
690453,distractor,3.3025656157023006e-07
772560,distractor,-2.824976817636085e-06
837594,distractor,-3.1414202861415424e-07
83820,distractor,-3.3708129942494913e-06
847501,distractor,1.8218764381562873e-06
920816,distractor,1.5738635005712384e-06
930786,distractor,1.3725865158298277e-06
933016,distractor,4.445150789443905e-06
966129,distractor,-3.837442777199321e-06
972144,distractor,6.207618773415329e-07
1023966,distractor,-1.985311753878775e-06
1102783,distractor,-7.686946240197571e-06
1130295,distractor,2.9766873150648997e-06
1194259,distractor,4.367795113561569e-06
1206056,distractor,-5.1226673754710266e-06
1263190,distractor,1.8355451941587224e-06
1269675,distractor,7.610440573030689e-06
1278798,distractor,-1.315982507406629e-06
1289865,distractor,-2.989032432975976e-06
1386370,distractor,4.439465540564235e-06
1416385,distractor,-2.207563540006501e-06
1468650,distractor,6.516742727948327e-06
1471313,distractor,6.919905967541164e-07
1525213,distractor,4.181250801009625e-06
1568904,distractor,1.5285765395971436e-06
1592129,distractor,1.7117477543640923e-06
1625672,distractor,1.9058727876221022e-06
1653861,distractor,1.5466274805296494e-06
1761229,distractor,4.71793413839364e-06
1779454,distractor,6.470196396545141e-06
1791871,distractor,-2.0723714225096095e-06
1823357,distractor,-2.5324664780782265e-06
1851855,distractor,2.72794728329042e-06
201567,distractor,1.3943504520344181e-06
2081813,distractor,-1.2196013764618287e-06
2100075,distractor,8.175005682576175e-08
2115323,distractor,-1.9991273922506996e-06
212146,distractor,3.393467451159597e-06
2209754,distractor,-2.988891701467818e-07
