stimulus_number,label,pearson_r_to_template
499550,distractor,2.1373503143203953e-06
503104,distractor,-5.255742677469019e-06
552066,distractor,-3.951912049722506e-07
588063,distractor,5.343572330278323e-06
633301,distractor,-1.8048194165946885e-06
63332,distractor,-9.707634604696341e-07
690453,distractor,3.303255953109041e-07
772560,distractor,-2.8261783089345016e-06
837594,distractor,-3.141308563582579e-07
83820,distractor,-3.3710915846698122e-06
847501,distractor,1.8221224859556878e-06
920816,distractor,1.5739019953433728e-06
930786,distractor,1.3727857726218012e-06
933016,distractor,4.445283497886247e-06
966129,distractor,-3.837602528342782e-06
972144,distractor,6.20772158489713e-07
1023966,distractor,-1.985376644169333e-06
1102783,distractor,-7.688356654459057e-06
1130295,distractor,2.9776408026023146e-06
1194259,distractor,4.367633098754757e-06
1206056,distractor,-5.122493778455389e-06
1263190,distractor,1.835516746668403e-06
1269675,distractor,7.611083977654073e-06
1278798,distractor,-1.3159745501541142e-06
1289865,distractor,-2.989062856145752e-06
1386370,distractor,4.4405417259358974e-06
1416385,distractor,-2.2074822301383634e-06
1468650,distractor,6.517525599603058e-06
1471313,distractor,6.919730427580595e-07
1525213,distractor,4.181482420246782e-06
1568904,distractor,1.5285148650566113e-06
1592129,distractor,1.71196852169226e-06
1625672,distractor,1.9058693380450895e-06
1653861,distractor,1.5465723810790047e-06
1761229,distractor,4.71778355086265e-06
1779454,distractor,6.470948390529044e-06
1791871,distractor,-2.0725404684604487e-06
1823357,distractor,-2.532434686878908e-06
1851855,distractor,2.7278414464629655e-06
201567,distractor,1.394341173203452e-06
2081813,distractor,-1.219564529857109e-06
2100075,distractor,8.17999491423832e-08
2115323,distractor,-1.9991576284666274e-06
212146,distractor,3.394409189458672e-06
2209754,distractor,-2.988816347002793e-07
2233970,distractor,5.458437278359207e-06
2248228,distractor,-3.4224906242559527e-06
2273177,distractor,6.269224460710154e-06
230438,distractor,-1.4194020748238556e-06
2304969,distractor,-2.612943065271635e-06
2306490,distractor,8.66585044634674e-08
2318346,distractor,-5.950435932793562e-06
2389297,distractor,-2.7611419677140564e-06
2442361,distractor,9.980474800549283e-07
2455734,distractor,2.8493368690492293e-06
2485538,distractor,-8.924006837697507e-07
2514632,distractor,2.415383075211712e-06
2519736,distractor,4.143791452209181e-06
2536695,distractor,2.3888923338013374e-07
2540015,distractor,-6.56980081305443e-06
2583835,distractor,2.60657896328665e-06
2608377,distractor,-2.7853046782530533e-06
2685736,distractor,-8.703060165975163e-07
290031,distractor,-4.206725070284717e-06
291265,distractor,-2.979783924222587e-06
334176,distractor,1.5378955020312751e-06
383122,distractor,-2.634548922038956e-06
458777,distractor,1.3418416558528407e-06
476253,distractor,-8.015280281055415e-07
524535,distractor,-1.2232925914196918e-06
52957,distractor,1.5546255683123941e-06
537598,distractor,-1.82033803601718e-06
550864,distractor,-7.298402192147842e-06
606192,distractor,1.3489920055896262e-06
612648,distractor,-6.0377343039409725e-06
627157,distractor,9.832080572862167e-07
66635,distractor,-1.0390800425641444e-07
708386,distractor,-9.41331985856303e-07
715678,distractor,1.437785578647672e-06
74527,distractor,3.5253121875751525e-06
746920,distractor,-9.57055752318775e-07
770646,distractor,2.1332524997655367e-06
805150,distractor,7.504961244573713e-06
813995,distractor,4.681434971721271e-06
823780,distractor,1.5724395673096664e-06
832705,distractor,2.8280202113428743e-07
83647,distractor,-1.9612127198894228e-06
846716,distractor,5.666674557751328e-07
852895,distractor,5.388629888396484e-06
876536,distractor,-4.291506459397007e-06
888164,distractor,-2.385646634071089e-06
